mRefOrder	surface	out2ref	language	lemma3	HebforeignKey	foreignKey	seg-pref+suff	help	PREFIX	conj	rel	temp	adv	prep	interrog	art	MAIN	POS	binyan	verbalroot	passive	Pers	Gen	Num	Tense	Status	function	suffix	Pers	Gen	Num
4857	שזה	ref.2.10.1.5.16	heb	זה_1	זה_1_PRONOUN	zh_1_PRONOUN	ש-זה	ala_1_CONJUNCTION	ש-		ש						זה	PRONOUN				3	m	sg							
4858	זדונו	ref.2.10.1.5.17	heb	זדון_1	זדון_1_NOUN	zdwN_1_NOUN	זדונ+ו	zh_1_PRONOUN									זדונ	NOUN					m	sg		abs	poss	ו	3	m	sg
4859	בידי	ref.2.10.1.5.18	heb	בידי_1	בידי_1_PREPOSITION	bydy_1_PREPOSITION	ב-ידי	zdwN_1_NOUN	ב-					ב			ידי	PREPOSITION								cstr					
4860	אדם	ref.2.10.1.5.19	heb	אדם_1	אדם_1_NOUN	adM_1_NOUN	אדם	bydy_1_PREPOSITION									אדם	NOUN					m	sg		abs					
4861	וזה	ref.2.10.1.5.20	heb	זה_1	זה_1_PRONOUN	zh_1_PRONOUN	ו-זה	adM_1_NOUN	ו-	ו							זה	PRONOUN				3	m	sg							
4862	זדונו	ref.2.10.1.5.21	heb	זדון_1	זדון_1_NOUN	zdwN_1_NOUN	זדונ+ו	zh_1_PRONOUN									זדונ	NOUN					m	sg		abs	poss	ו	3	m	sg
4863	בכרת	ref.2.10.1.5.22	heb	כרת_1	כרת_1_NOUN	krt_1_NOUN	ב-כרת	zdwN_1_NOUN	ב-					ב			כרת	NOUN					m	sg		abs					
4864	אין	ref.2.10.1.6.1	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	krt_1_NOUN									אין	EXISTENTIAL													
4865	בין	ref.2.10.1.6.2	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4866	המודר	ref.2.10.1.6.3	heb	הודר_1	הודר_1_PARTICIPLE	hwdr_1_PARTICIPLE	ה-מודר	byN_1_PREPOSITION	ה-							ה	מודר	PARTICIPLE	hofal	נדר			m	sg		cstr					
4867	הנאה	ref.2.10.1.6.4	heb	הנאה_1	הנאה_1_NOUN	hnah_1_NOUN	הנאה	hwdr_1_PARTICIPLE									הנאה	NOUN					f	sg		abs					
4868	מחבירו	ref.2.10.1.6.5	heb	חבר_1	חבר_1_NOUN	Hbr_1_NOUN	מ-חביר+ו	hnah_1_NOUN	מ-					מ			חביר	NOUN					m	sg		abs	poss	ו	3	m	sg
4869	למודר	ref.2.10.1.6.6	heb	הודר_1	הודר_1_PARTICIPLE	hwdr_1_PARTICIPLE	ל-ה-מודר	Hbr_1_NOUN	ל-ה-					ל		ה	מודר	PARTICIPLE	hofal	נדר			m	sg		abs					
4870	ממנו	ref.2.10.1.6.7	heb	מן_1	מן_1_PREPOSITION	mN_1_PREPOSITION	ממ+נו	hwdr_1_PARTICIPLE									ממ	PREPOSITION									pronomial	נו	3	m	sg
4871	מאכל	ref.2.10.1.6.8	heb	מאכל_1	מאכל_1_NOUN	makl_1_NOUN	מאכל	mN_1_PREPOSITION									מאכל	NOUN					m	sg		abs					
4872	אלא	ref.2.10.1.6.9	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	makl_1_NOUN									אלא	CONJUNCTION													
4873	דריסת	ref.2.10.1.6.10	heb	דריסה_1	דריסה_1_NOUN	drysh_1_NOUN	דריסת	ala_1_CONJUNCTION									דריסת	NOUN					f	sg		cstr					
4874	הרגל	ref.2.10.1.6.11	heb	רגל_1	רגל_1_NOUN	rgl_1_NOUN	ה-רגל	drysh_1_NOUN	ה-							ה	רגל	NOUN					f	sg		abs					
4875	וכלים	ref.2.10.1.6.12	heb	כלי_1	כלי_1_NOUN	kly_1_NOUN	ו-כלים	rgl_1_NOUN	ו-	ו							כלים	NOUN					m	pl		abs					
4876	שאין	ref.2.10.1.6.13	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	ש-אין	kly_1_NOUN	ש-		ש						אין	EXISTENTIAL													
4877	עושין	ref.2.10.1.6.14	heb	עשה_1	עשה_1_VERB	eSh_1_VERB	עושין	ayN_1_EXISTENTIAL									עושין	VERB	paal	עשה		ANY	m	pl	PRESENT						
4878	בהן	ref.2.10.1.6.15	heb	ב_1	ב_1_PREPOSITION	b_1_PREPOSITION	ב+הן	eSh_1_VERB									ב	PREPOSITION									pronomial	הן	3	m	pl
4879	אוכל	ref.2.10.1.6.16	heb	אוכל_1	אוכל_1_NOUN	awkl_1_NOUN	אוכל	b_1_PREPOSITION									אוכל	NOUN					m	sg		cstr					
4880	נפש	ref.2.10.1.6.17	heb	נפש_1	נפש_1_NOUN	npS_1_NOUN	נפש	awkl_1_NOUN									נפש	NOUN					f	sg		abs					
4881	אין	ref.2.10.1.6.18	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	npS_1_NOUN									אין	EXISTENTIAL													
4882	בין	ref.2.10.1.6.19	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4883	נדרים	ref.2.10.1.6.20	heb	נדר_1	נדר_1_NOUN	ndr_1_NOUN	נדרים	byN_1_PREPOSITION									נדרים	NOUN					m	pl		abs					
4884	לנדבות	ref.2.10.1.6.21	heb	נדבה_1	נדבה_1_NOUN	ndbh_1_NOUN	ל-נדבות	ndr_1_NOUN	ל-					ל			נדבות	NOUN					f	pl		abs					
4885	אלא	ref.2.10.1.6.22	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	ndbh_1_NOUN									אלא	CONJUNCTION													
4886	שהנדרים	ref.2.10.1.6.23	heb	נדר_1	נדר_1_NOUN	ndr_1_NOUN	ש-ה-נדרים	ala_1_CONJUNCTION	ש-ה-		ש					ה	נדרים	NOUN					m	pl		abs					
4887	חייב	ref.2.10.1.6.24	heb	חייב_1	חייב_1_ADJECTIVE	Hyyb_1_ADJECTIVE	חייב	ndr_1_NOUN									חייב	ADJECTIVE					m	sg		abs					
4888	באחריותן	ref.2.10.1.6.25	heb	אחריות_1	אחריות_1_NOUN	aHrywt_1_NOUN	ב-אחריות+ן	Hyyb_1_ADJECTIVE	ב-					ב			אחריות	NOUN					f	sg		abs	poss	ן	3	m	pl
4889	ונדבות	ref.2.10.1.6.26	heb	נדבה_1	נדבה_1_NOUN	ndbh_1_NOUN	ו-נדבות	aHrywt_1_NOUN	ו-	ו							נדבות	NOUN					f	pl		abs					
4890	אינו	ref.2.10.1.6.27	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	אינ+ו	ndbh_1_NOUN									אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
4891	חייב	ref.2.10.1.6.28	heb	חייב_1	חייב_1_ADJECTIVE	Hyyb_1_ADJECTIVE	חייב	ayN_1_COPULA									חייב	ADJECTIVE				ANY	m	sg	PRESENT						
4892	באחריותן	ref.2.10.1.6.29	heb	אחריות_1	אחריות_1_NOUN	aHrywt_1_NOUN	ב-אחריות+ן	Hyyb_1_ADJECTIVE	ב-					ב			אחריות	NOUN					f	sg		abs	poss	ן	3	f	pl
4893	אין	ref.2.10.1.7.1	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	aHrywt_1_NOUN									אין	EXISTENTIAL													
4894	בין	ref.2.10.1.7.2	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4895	זב	ref.2.10.1.7.3	heb	זב_1	זב_1_PARTICIPLE	zb_1_PARTICIPLE	זב	byN_1_PREPOSITION									זב	PARTICIPLE	paal	זוב			m	sg		abs					
4896	הרואה	ref.2.10.1.7.4	heb	ראה_1	ראה_1_PARTICIPLE	rah_1_PARTICIPLE	ה-רואה	zb_1_PARTICIPLE	ה-							ה	רואה	PARTICIPLE	paal	ראה			m	sg		abs					
4897	שתי	ref.2.10.1.7.5	heb	CARD2_1	CARD2_1_NUMERAL	CARD2_1_NUMERAL	שתי	rah_1_PARTICIPLE									שתי	NUMERAL					f	d		cstr					
4898	ראיות	ref.2.10.1.7.6	heb	ראייה_1	ראייה_1_NOUN	rayyh_1_NOUN	ראיות	CARD2_1_NUMERAL									ראיות	NOUN					f	pl		abs					
4899	לרואה	ref.2.10.1.7.7	heb	ראה_1	ראה_1_PARTICIPLE	rah_1_PARTICIPLE	ל-ה-רואה	rayyh_1_NOUN	ל-ה-					ל		ה	רואה	PARTICIPLE	paal	ראה			m	sg		abs					
4900	שלש	ref.2.10.1.7.8	heb	CARD3_1	CARD3_1_NUMERAL	CARD3_1_NUMERAL	שלש	rah_1_PARTICIPLE									שלש	NUMERAL					f	sg		abs					
4901	אלא	ref.2.10.1.7.9	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	CARD3_1_NUMERAL									אלא	CONJUNCTION													
4902	קרבן	ref.2.10.1.7.10	heb	קרבן_1	קרבן_1_NOUN	qrbN_1_NOUN	קרבן	ala_1_CONJUNCTION									קרבן	NOUN					m	sg		abs					
4903	אין	ref.2.10.1.7.11	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	qrbN_1_NOUN									אין	EXISTENTIAL													
4904	בין	ref.2.10.1.7.12	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4905	מצורע	ref.2.10.1.7.13	heb	מצורע_1	מצורע_1_NOUN	mcwre_1_NOUN	מצורע	byN_1_PREPOSITION									מצורע	NOUN					m	sg		abs					
4906	מוסגר	ref.2.10.1.7.14	heb	מוסגר_1	מוסגר_1_ADJECTIVE	mwsgr_1_ADJECTIVE	מוסגר	mcwre_1_NOUN									מוסגר	ADJECTIVE	hofal	סגר			m	sg		abs					
4907	למצורע	ref.2.10.1.7.15	heb	מצורע_1	מצורע_1_NOUN	mcwre_1_NOUN	ל-מצורע	mwsgr_1_ADJECTIVE	ל-					ל			מצורע	NOUN					m	sg		abs					
4908	מוחלט	ref.2.10.1.7.16	heb	מוחלט_1	מוחלט_1_ADJECTIVE	mwHlT_1_ADJECTIVE	מוחלט	mcwre_1_NOUN									מוחלט	ADJECTIVE	hofal	חלט			m	sg		abs					
4909	אלא	ref.2.10.1.7.17	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	mwHlT_1_ADJECTIVE									אלא	CONJUNCTION													
4910	פריעה	ref.2.10.1.7.18	heb	פריעה_1	פריעה_1_NOUN	pryeh_1_NOUN	פריעה	ala_1_CONJUNCTION									פריעה	NOUN					f	sg		abs					
4911	ופרימה	ref.2.10.1.7.19	heb	פרימה_1	פרימה_1_NOUN	prymh_1_NOUN	ו-פרימה	pryeh_1_NOUN	ו-	ו							פרימה	NOUN					f	sg		abs					
4912	אין	ref.2.10.1.7.20	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	prymh_1_NOUN									אין	EXISTENTIAL													
4913	בין	ref.2.10.1.7.21	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4914	טהור	ref.2.10.1.7.22	heb	טהור_1	טהור_1_ADJECTIVE	Thwr_1_ADJECTIVE	טהור	byN_1_PREPOSITION									טהור	ADJECTIVE					m	sg		abs					
4915	מתוך	ref.2.10.1.7.23	heb	מתוך_1	מתוך_1_PREPOSITION	mtwK_1_PREPOSITION	מתוך	Thwr_1_ADJECTIVE									מתוך	PREPOSITION													
4916	הסגר	ref.2.10.1.7.24	heb	הסגר_1	הסגר_1_NOUN	hsgr_1_NOUN	הסגר	mtwK_1_PREPOSITION									הסגר	NOUN					m	sg		abs					
4917	לטהור	ref.2.10.1.7.25	heb	טהור_1	טהור_1_ADJECTIVE	Thwr_1_ADJECTIVE	ל-טהור	hsgr_1_NOUN	ל-					ל			טהור	ADJECTIVE					m	sg		abs					
4918	מתוך	ref.2.10.1.7.26	heb	מתוך_1	מתוך_1_PREPOSITION	mtwK_1_PREPOSITION	מתוך	Thwr_1_ADJECTIVE									מתוך	PREPOSITION													
4919	החלט	ref.2.10.1.7.27	heb	החליט_1	החליט_1_NOUN	hHlyT_1_NOUN	החלט	mtwK_1_PREPOSITION									החלט	NOUN					m	sg		abs					
4920	אלא	ref.2.10.1.7.28	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	hHlyT_1_NOUN									אלא	CONJUNCTION													
4921	תגלחת	ref.2.10.1.7.29	heb	תגלחת_1	תגלחת_1_NOUN	tglHt_1_NOUN	תגלחת	ala_1_CONJUNCTION									תגלחת	NOUN					f	sg		abs					
4922	וצפרים	ref.2.10.1.7.30	heb	ציפור_1	ציפור_1_NOUN	cypwr_1_NOUN	ו-צפרים	tglHt_1_NOUN	ו-	ו							צפרים	NOUN					f	pl		abs					
4923	אין	ref.2.10.1.8.1	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	cypwr_1_NOUN									אין	EXISTENTIAL													
4924	בין	ref.2.10.1.8.2	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4925	ספרים	ref.2.10.1.8.3	heb	ספר_1	ספר_1_NOUN	spr_1_NOUN	ספרים	byN_1_PREPOSITION									ספרים	NOUN					m	pl		abs					
4926	לתפילין	ref.2.10.1.8.4	heb	תפילין_1	תפילין_1_NOUN	tpylyN_1_NOUN	ל-תפילין	spr_1_NOUN	ל-					ל			תפילין	NOUN					f	pl		abs					
4927	ומזוזות	ref.2.10.1.8.5	heb	מזוזה_1	מזוזה_1_NOUN	mzwzh_1_NOUN	ו-מזוזות	tpylyN_1_NOUN	ו-	ו							מזוזות	NOUN					f	pl		abs					
4928	אלא	ref.2.10.1.8.6	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	mzwzh_1_NOUN									אלא	CONJUNCTION													
4929	שהספרים	ref.2.10.1.8.7	heb	ספר_1	ספר_1_NOUN	spr_1_NOUN	ש-ה-ספרים	ala_1_CONJUNCTION	ש-ה-		ש					ה	ספרים	NOUN					m	pl		abs					
4930	נכתבין	ref.2.10.1.8.8	heb	נכתב_1	נכתב_1_VERB	nktb_1_VERB	נכתבין	spr_1_NOUN									נכתבין	VERB	nifal	כתב		ANY	m	pl	PRESENT						
4931	בכל	ref.2.10.1.8.9	heb	כול_1	כול_1_QUANTIFIER	kwl_1_QUANTIFIER	ב-כל	nktb_1_VERB	ב-					ב			כל	QUANTIFIER								cstr					
4932	לשון	ref.2.10.1.8.10	heb	לשון_1	לשון_1_NOUN	lSwN_1_NOUN	לשון	kwl_1_QUANTIFIER									לשון	NOUN					f	sg		abs					
4933	ותפילין	ref.2.10.1.8.11	heb	תפילין_1	תפילין_1_NOUN	tpylyN_1_NOUN	ו-תפילין	lSwN_1_NOUN	ו-	ו							תפילין	NOUN					f	pl		abs					
4934	ומזוזות	ref.2.10.1.8.12	heb	מזוזה_1	מזוזה_1_NOUN	mzwzh_1_NOUN	ו-מזוזות	tpylyN_1_NOUN	ו-	ו							מזוזות	NOUN					f	pl		abs					
4935	אינן	ref.2.10.1.8.13	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	אינ+ן	mzwzh_1_NOUN									אינ	COPULA				3	f	pl	PRESENT		pronomial	ן	3	f	pl
4936	נכתבות	ref.2.10.1.8.14	heb	נכתב_1	נכתב_1_VERB	nktb_1_VERB	נכתבות	ayN_1_COPULA									נכתבות	VERB	nifal	כתב		ANY	f	pl	PRESENT						
4937	אלא	ref.2.10.1.8.15	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	nktb_1_VERB									אלא	CONJUNCTION													
4938	אשורית	ref.2.10.1.8.16	heb	אשורי_1	אשורי_1_ADJECTIVE	aSwry_1_ADJECTIVE	אשורית	ala_1_CONJUNCTION									אשורית	ADJECTIVE					f	sg							
4939	רבן	ref.2.10.1.8.17	heb	רבן_1	רבן_1_TITULAR	rbN_1_TITULAR	רבן	aSwry_1_ADJECTIVE									רבן	TITULAR					m	sg							
4940	שמעון	ref.2.10.1.8.18	heb	שמעון_1	שמעון_1_PROPERNAME	SmewN_1_PROPERNAME	שמעון	rbN_1_TITULAR									שמעון	PROPERNAME													
4941	בן	ref.2.10.1.8.19	heb	בן_1	בן_1_NOUN	bN_1_NOUN	בן	SmewN_1_PROPERNAME									בן	NOUN					m	sg		cstr					
4942	גמליאל	ref.2.10.1.8.20	heb	גמליאל_1	גמליאל_1_PROPERNAME	gmlyal_1_PROPERNAME	גמליאל	bN_1_NOUN									גמליאל	PROPERNAME					m	sg							
4943	אומר	ref.2.10.1.8.21	heb	אמר_1	אמר_1_VERB	amr_1_VERB	אומר	gmlyal_1_PROPERNAME									אומר	VERB	paal	אמר		ANY	m	sg	PRESENT						
4944	אף	ref.2.10.1.8.22	heb	אף_1	אף_1_ADVERB	aP_1_ADVERB	אף	amr_1_VERB									אף	ADVERB													
4945	בספרים	ref.2.10.1.8.23	heb	ספר_1	ספר_1_NOUN	spr_1_NOUN	ב-ה-ספרים	aP_1_ADVERB	ב-ה-					ב		ה	ספרים	NOUN					m	pl		abs					
4946	לא	ref.2.10.1.8.24	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	לא	spr_1_NOUN									לא	NEGATION													
4947	התירו	ref.2.10.1.8.25	heb	התיר_1	התיר_1_VERB	htyr_1_VERB	התירו	la_1_NEGATION									התירו	VERB	hifil	נתר		3	mf	pl	PAST						
4948	שיכתבו	ref.2.10.1.8.26	heb	כתב_1	כתב_1_VERB	ktb_1_VERB	ש-יכתבו	htyr_1_VERB	ש-		ש						יכתבו	VERB	paal	כתב		3	mf	pl	FUTURE						
4949	אלא	ref.2.10.1.8.27	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	ktb_1_VERB									אלא	CONJUNCTION													
4950	יונית	ref.2.10.1.8.28	heb	יווני_1	יווני_1_ADJECTIVE	ywwny_1_ADJECTIVE	יונית	ala_1_CONJUNCTION									יונית	ADJECTIVE					f	sg							
4951	אין	ref.2.10.1.9.1	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	ywwny_1_ADJECTIVE									אין	EXISTENTIAL													
4952	בין	ref.2.10.1.9.2	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4953	כהן	ref.2.10.1.9.3	heb	כוהן_1	כוהן_1_NOUN	kwhN_1_NOUN	כהן	byN_1_PREPOSITION									כהן	NOUN					m	sg		abs					
4954	משוח	ref.2.10.1.9.4	heb	משח_1	משח_1_ADJECTIVE	mSH_1_ADJECTIVE	משוח	kwhN_1_NOUN									משוח	ADJECTIVE	paal	משח	passive		m	sg		abs					
4955	בשמן	ref.2.10.1.9.5	heb	שמן_1	שמן_1_NOUN	SmN_1_NOUN	ב-שמן	mSH_1_ADJECTIVE	ב-					ב			שמן	NOUN					m	sg		cstr					
4956	המשחה	ref.2.10.1.9.6	heb	משחה_1	משחה_1_NOUN	mSHh_1_NOUN	ה-משחה	SmN_1_NOUN	ה-							ה	משחה	NOUN					f	sg		abs					
4957	למרובה	ref.2.10.1.9.7	heb	מרובה_1	מרובה_1_ADJECTIVE	mrwbh_1_ADJECTIVE	ל-מרובה	mSHh_1_NOUN	ל-					ל			מרובה	ADJECTIVE	pual	רבה			m	sg		cstr					
4958	בגדים	ref.2.10.1.9.8	heb	בגד_1	בגד_1_NOUN	bgd_1_NOUN	בגדים	mrwbh_1_ADJECTIVE									בגדים	NOUN					m	pl		abs					
4959	אלא	ref.2.10.1.9.9	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	bgd_1_NOUN									אלא	CONJUNCTION													
4960	פר	ref.2.10.1.9.10	heb	פר_1	פר_1_NOUN	pr_1_NOUN	פר	ala_1_CONJUNCTION									פר	NOUN					m	sg		abs					
4961	הבא	ref.2.10.1.9.11	heb	בא_1	בא_1_PARTICIPLE	ba_1_PARTICIPLE	ה-בא	pr_1_NOUN	ה-							ה	בא	PARTICIPLE	paal	בוא			m	sg		abs					
4962	על	ref.2.10.1.9.12	heb	על_1	על_1_PREPOSITION	el_1_PREPOSITION	על	ba_1_PARTICIPLE									על	PREPOSITION													
4963	כל	ref.2.10.1.9.13	heb	כול_1	כול_1_QUANTIFIER	kwl_1_QUANTIFIER	כל	el_1_PREPOSITION									כל	QUANTIFIER								cstr					
4964	המצות	ref.2.10.1.9.14	heb	מצווה_1	מצווה_1_NOUN	mcwwh_1_NOUN	ה-מצות	kwl_1_QUANTIFIER	ה-							ה	מצות	NOUN					f	pl		abs					
4965	אין	ref.2.10.1.9.15	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	mcwwh_1_NOUN									אין	EXISTENTIAL													
4966	בין	ref.2.10.1.9.16	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4967	כהן	ref.2.10.1.9.17	heb	כוהן_1	כוהן_1_NOUN	kwhN_1_NOUN	כהן	byN_1_PREPOSITION									כהן	NOUN					m	sg		abs					
4968	משמש	ref.2.10.1.9.18	heb	שימש_1	שימש_1_PARTICIPLE	SymS_1_PARTICIPLE	משמש	kwhN_1_NOUN									משמש	PARTICIPLE	piel	שמש			m	sg		abs					
4969	לכהן	ref.2.10.1.9.19	heb	כוהן_1	כוהן_1_NOUN	kwhN_1_NOUN	ל-כהן	SymS_1_PARTICIPLE	ל-					ל			כהן	NOUN					m	sg		abs					
4970	שעבר	ref.2.10.1.9.20	heb	עבר_1	עבר_1_VERB	ebr_1_VERB	ש-עבר	kwhN_1_NOUN	ש-		ש						עבר	VERB	paal	עבר		3	m	sg	PAST						
4971	אלא	ref.2.10.1.9.21	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	ebr_1_VERB									אלא	CONJUNCTION													
4972	פר	ref.2.10.1.9.22	heb	פר_1	פר_1_NOUN	pr_1_NOUN	פר	ala_1_CONJUNCTION									פר	NOUN					m	sg		cstr					
4973	יום	ref.2.10.1.9.23	heb	יום_1	יום_1_NOUN	ywM_1_NOUN	יום	pr_1_NOUN									יום	NOUN					m	sg		cstr					
4974	הכפורים	ref.2.10.1.9.24	heb	כיפור_1	כיפור_1_NOUN	kypwr_1_NOUN	ה-כפורים	ywM_1_NOUN	ה-							ה	כפורים	NOUN					m	pl		abs					
4975	ועשירית	ref.2.10.1.9.25	heb	ORD10_1	ORD10_1_NUMERAL	ORD10_1_NUMERAL	ו-עשירית	kypwr_1_NOUN	ו-	ו							עשירית	NUMERAL					f	sg		cstr					
4976	האיפה	ref.2.10.1.9.26	heb	איפה_1	איפה_1_NOUN	ayph_1_NOUN	ה-איפה	ORD10_1_NUMERAL	ה-							ה	איפה	NOUN					f	sg		abs					
4977	אין	ref.2.10.1.10.1	heb	אין_1	אין_1_EXISTENTIAL	ayN_1_EXISTENTIAL	אין	ayph_1_NOUN									אין	EXISTENTIAL													
4978	בין	ref.2.10.1.10.2	heb	בין_1	בין_1_PREPOSITION	byN_1_PREPOSITION	בין	ayN_1_EXISTENTIAL									בין	PREPOSITION													
4979	במה	ref.2.10.1.10.3	heb	במה_1	במה_1_NOUN	bmh_1_NOUN	במה	byN_1_PREPOSITION									במה	NOUN					f	sg		abs					
4980	גדולה	ref.2.10.1.10.4	heb	גדול_1	גדול_1_ADJECTIVE	gdwl_1_ADJECTIVE	גדולה	bmh_1_NOUN									גדולה	ADJECTIVE					f	sg		abs					
4981	לבמה	ref.2.10.1.10.5	heb	במה_1	במה_1_NOUN	bmh_1_NOUN	ל-במה	gdwl_1_ADJECTIVE	ל-					ל			במה	NOUN					f	sg		abs					
4982	קטנה	ref.2.10.1.10.6	heb	קטן_1	קטן_1_ADJECTIVE	qTN_1_ADJECTIVE	קטנה	bmh_1_NOUN									קטנה	ADJECTIVE					f	sg		abs					
4983	אלא	ref.2.10.1.10.7	heb	אלא_1	אלא_1_CONJUNCTION	ala_1_CONJUNCTION	אלא	qTN_1_ADJECTIVE									אלא	CONJUNCTION													
4984	פסחים	ref.2.10.1.10.8	heb	פסח_1	פסח_1_NOUN	psH_1_NOUN	פסחים	ala_1_CONJUNCTION									פסחים	NOUN					m	pl		abs					
4985	זה	ref.2.10.1.10.9	heb	זה_1	זה_1_PRONOUN	zh_1_PRONOUN	זה	psH_1_NOUN									זה	PRONOUN				3	m	sg							
4986	הכלל	ref.2.10.1.10.10	heb	כלל_1	כלל_1_NOUN	kll_1_NOUN	ה-כלל	zh_1_PRONOUN	ה-							ה	כלל	NOUN					m	sg		abs					
4987	כל	ref.2.10.1.10.11	heb	כול_1	כול_1_PRONOUN	kwl_1_PRONOUN	כל	kll_1_NOUN									כל	PRONOUN								abs					
4988	שהוא	ref.2.10.1.10.12	heb	הוא_1	הוא_1_COPULA	hwa_1_COPULA	ש-הוא	kwl_1_PRONOUN	ש-		ש						הוא	COPULA				3	m	sg	PRESENT						
4989	נידר	ref.2.10.1.10.13	heb	נידר_1	נידר_1_VERB	nydr_1_VERB	נידר	hwa_1_COPULA									נידר	VERB	nifal	נדר		3	m	sg	PAST						
4990	ונידב	ref.2.10.1.10.14	heb	נידב_1	נידב_1_VERB	nydb_1_VERB	ו-נידב	nydr_1_VERB	ו-	ו							נידב	VERB	nifal	נדב		3	m	sg	PAST						
4991	קרב	ref.2.10.1.10.15	heb	קרב_1	קרב_1_VERB	qrb_1_VERB	קרב	nydb_1_VERB									קרב	VERB	paal	קרב	stative	ANY	m	sg	PRESENT						
4992	בבמה	ref.2.10.1.10.16	heb	במה_1	במה_1_NOUN	bmh_1_NOUN	ב-ה-במה	qrb_1_VERB	ב-ה-					ב		ה	במה	NOUN					f	sg		abs					
4993	וכל	ref.2.10.1.10.17	heb	כול_1	כול_1_PRONOUN	kwl_1_PRONOUN	ו-כל	bmh_1_NOUN	ו-	ו							כל	PRONOUN								abs					
4994	שאינו	ref.2.10.1.10.18	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	ש-אינ+ו	kwl_1_PRONOUN	ש-		ש						אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
4995	לא	ref.2.10.1.10.19	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	לא	ayN_1_COPULA									לא	NEGATION													
4996	נידר	ref.2.10.1.10.20	heb	נידר_1	נידר_1_VERB	nydr_1_VERB	נידר	la_1_NEGATION									נידר	VERB	nifal	נדר		3	m	sg	PAST						
4997	ולא	ref.2.10.1.10.21	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	ו-לא	nydr_1_VERB	ו-	ו							לא	NEGATION													
4998	נידב	ref.2.10.1.10.22	heb	נידב_1	נידב_1_VERB	nydb_1_VERB	נידב	la_1_NEGATION									נידב	VERB	nifal	נדב		3	m	sg	PAST						
4999	אינו	ref.2.10.1.10.23	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	אינ+ו	nydb_1_VERB									אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
5000	קרב	ref.2.10.1.10.24	heb	קרב_1	קרב_1_VERB	qrb_1_VERB	קרב	ayN_1_COPULA									קרב	VERB	paal	קרב	stative	ANY	m	sg	PRESENT						
